FIPS,Percent_Rural
20003,58.8
20005,34.2
20007,100.0
20009,31.8
20011,48.0
20013,68.4
20015,40.5
20017,100.0
20019,100.0
20021,49.1
20023,100.0
20025,100.0
20027,49.5
20029,44.0
20031,70.9
20033,100.0
20035,31.0
20037,34.9
20039,100.0
20041,64.3
20043,70.2
20045,11.0
20047,100.0
20049,100.0
20051,25.6
20053,54.1
20055,18.6
20057,19.3
20059,52.1
20061,11.7
20063,100.0
20065,100.0
20067,19.8
20069,100.0
20071,100.0
20073,61.3
20075,100.0
20077,100.0
20079,30.9
20081,100.0
20083,100.0
20085,75.9
20087,98.8
20089,100.0
20091,3.8
20093,100.0
20095,62.1
20097,100.0
20099,52.3
20101,100.0
20103,29.1
20105,100.0
20107,100.0
20109,100.0
20111,26.3
20113,43.5
20115,77.8
20117,71.0
20119,100.0
20121,51.0
20123,48.3
20125,43.4
20127,100.0
20129,100.0
20131,75.2
20133,45.1
20135,100.0
20137,49.0
20139,83.5
20141,100.0
20143,100.0
20145,31.7
20147,53.8
20149,58.9
20151,32.2
20153,100.0
20155,31.3
20157,100.0
20159,63.8
20161,13.8
20163,100.0
20165,100.0
20167,41.1
20169,14.6
20171,26.1
20173,7.7
20175,11.4
20177,15.8
20179,100.0
20181,24.2
20183,100.0
20185,100.0
20187,100.0
20189,31.2
20191,62.9
20193,30.8
20195,100.0
20197,100.0
20199,100.0
20201,100.0
20203,100.0
20205,72.7
20207,100.0
20209,6.1
21001,75.5
21003,78.7
21005,41.7
21007,100.0
21009,63.3
21011,100.0
21013,62.5
21015,13.3
21017,44.7
21019,25.3
21021,34.8
21023,100.0
21025,81.5
21027,100.0
21029,30.4
21031,100.0
21033,54.6
21035,48.7
21037,15.3
21039,100.0
21041,52.2
21043,79.4
21045,100.0
21047,28.6
21049,27.5
21051,78.6
21053,100.0
21055,70.8
21057,100.0
21059,27.0
21061,100.0
21063,100.0
21065,76.1
21067,3.1
21069,80.5
21071,83.9
21073,27.6
21075,64.4
21077,100.0
21079,77.9
21081,65.0
21083,69.4
21085,73.6
21087,100.0
21089,39.3
21091,89.3
21093,34.2
21095,54.2
21097,65.9
21099,87.2
21101,38.2
21103,100.0
21105,100.0
21107,47.1
21109,100.0
21111,1.4
21113,25.9
21115,73.0
21117,7.0
21119,100.0
21121,62.9
21123,76.0
21125,56.8
21127,77.1
21129,100.0
21131,100.0
21133,100.0
21135,100.0
21137,81.7
21139,95.4
21141,75.0
21143,100.0
21145,27.8
21147,100.0
21149,100.0
21151,38.5
21153,100.0
21155,71.5
21157,85.9
21159,100.0
21161,55.4
21163,85.9
21165,100.0
21167,59.1
21169,100.0
21171,100.0
21173,59.1
21175,100.0
21177,68.4
21179,56.9
21181,100.0
21183,73.5
21185,20.3
21187,100.0
21189,100.0
21191,100.0
21193,74.1
21195,87.8
21197,67.1
21199,53.9
21201,100.0
21203,83.7
21205,68.8
21207,100.0
21209,32.5
21211,47.0
21213,45.2
21215,100.0
21217,52.2
21219,100.0
21221,79.4
21223,94.7
21225,65.3
21227,31.2
21229,100.0
21231,67.7
21233,100.0
21235,65.2
21237,100.0
21239,36.2
22001,51.7
22003,69.4
22005,13.2
22007,45.0
22009,63.8
22011,66.5
22013,79.8
22015,24.3
22017,14.4
22019,20.5
22021,100.0
22023,100.0
22025,100.0
22027,82.4
22029,33.5
22031,77.3
22033,6.9
22035,34.6
22037,100.0
22039,61.1
22041,74.2
22043,85.6
22045,28.1
22047,59.2
22049,65.5
22051,1.1
22053,50.7
22055,8.3
22057,24.2
22059,73.2
22061,40.7
22063,41.1
22065,22.4
22067,50.0
22069,50.1
22071,0.6
22073,24.2
22075,19.5
22077,57.8
22079,39.5
22081,100.0
22083,66.0
22085,88.2
22087,4.3
22089,11.5
22091,100.0
22093,27.7
22095,13.4
22097,48.2
22099,49.6
22101,13.0
22103,23.2
22105,40.9
22107,100.0
22109,20.6
22111,82.9
22113,54.6
22115,49.9
22117,66.7
22119,53.0
22121,30.5
22123,100.0
22125,100.0
22127,64.9
23001,43.4
23003,80.3
23005,36.1
23007,83.0
23009,90.1
23011,62.8
23013,67.9
23015,100.0
23017,83.1
23019,57.7
23021,100.0
23023,61.7
23025,80.5
23027,91.3
23029,92.4
23031,56.8
24001,27.3
24003,5.3
24005,6.5
24009,38.7
24011,76.0
24013,39.5
24015,42.1
24017,29.5
24019,56.2
24021,25.2
24023,83.9
24025,17.8
24027,9.3
24029,72.6
24031,2.4
24033,2.0
24035,54.5
24037,50.4
24039,45.8
24041,54.7
24043,29.5
24045,25.8
24047,35.5
24510,0.0
25001,7.5
25003,31.6
25005,9.8
25007,39.0
25009,4.2
25011,54.4
25013,8.6
25015,27.4
25017,3.0
25019,18.9
25021,1.2
25023,10.3
25025,0.1
25027,18.4
26001,98.9
26003,69.0
26005,64.5
26007,51.8
26009,100.0
26011,100.0
26013,100.0
26015,77.1
26017,30.3
26019,100.0
26021,32.9
26023,62.7
26025,31.0
26027,71.2
26029,70.4
26031,82.7
26033,48.9
26035,70.6
26037,52.9
26039,72.6
26041,43.8
26043,32.8
26045,38.0
26047,74.9
26049,16.8
26051,88.6
26053,68.2
26055,48.0
26057,60.2
26059,69.1
26061,37.8
26063,89.5
26065,13.2
26067,60.5
26069,58.9
26071,72.9
26073,46.6
26075,41.8
26077,17.5
26079,84.4
26081,15.7
26083,100.0
26085,100.0
26087,77.3
26089,91.3
26091,51.8
26093,36.9
26095,51.4
26097,77.2
26099,2.8
26101,61.2
26103,41.5
26105,62.7
26107,66.7
26109,64.3
26111,42.8
26113,100.0
26115,37.6
26117,84.6
26119,100.0
26121,23.3
26123,83.8
26125,4.8
26127,89.9
26129,100.0
26131,100.0
26133,100.0
26135,100.0
26137,65.7
26139,20.3
26141,80.9
26143,66.1
26145,31.1
26147,38.6
26149,54.4
26151,90.2
26153,59.0
26155,55.0
26157,84.2
26159,70.9
26161,16.4
26163,0.7
26165,64.3
27001,100.0
27003,13.5
27005,75.5
27007,67.1
27009,40.0
27011,100.0
27013,26.9
27015,34.9
27017,55.2
27019,18.8
27021,100.0
27023,50.3
27025,55.6
27027,27.9
27029,100.0
27031,100.0
27033,62.3
27035,62.7
27037,4.9
27039,51.8
27041,52.8
27043,77.6
27045,93.3
27047,42.8
27049,47.0
27051,100.0
27053,2.2
27055,57.4
27057,83.4
27059,62.3
27061,79.4
27063,69.1
27065,77.4
27067,44.5
27069,100.0
27071,47.0
27073,100.0
27075,67.0
27077,100.0
27079,62.2
27081,100.0
27083,47.9
27085,46.6
27087,100.0
27089,100.0
27091,54.0
27093,65.5
27095,70.8
27097,72.8
27099,35.9
27101,100.0
27103,25.6
27105,41.0
27107,100.0
27109,16.6
27111,73.6
27113,36.2
27115,89.3
27117,57.3
27119,48.5
27121,100.0
27123,0.2
27125,100.0
27127,69.1
27129,100.0
27131,25.9
27133,52.3
27135,82.3
27137,37.1
27139,17.2
27141,44.2
27143,100.0
27145,36.9
27147,30.6
27149,47.3
27151,67.4
27153,78.4
27155,100.0
27157,64.5
27159,67.0
27161,50.2
27163,14.5
27165,59.1
27167,50.1
27169,34.5
27171,32.5
27173,80.8
28001,37.2
28003,66.4
28005,100.0
28007,64.3
28009,100.0
28011,54.0
28013,100.0
28015,100.0
28017,85.3
28019,100.0
28021,100.0
28023,100.0
28025,55.5
28027,32.0
28029,65.6
28031,100.0
28033,20.4
28035,29.6
28037,100.0
28039,88.3
28041,100.0
28043,52.2
28045,42.6
28047,22.8
28049,15.3
28051,86.8
28053,49.8
28055,100.0
28057,86.3
28059,27.3
28061,100.0
28063,100.0
28065,100.0
28067,61.4
28069,100.0
28071,45.6
28073,50.4
28075,48.3
28077,100.0
28079,81.2
28081,45.4
28083,17.7
28085,69.5
28087,42.6
28089,28.0
28091,73.1
28093,83.4
28095,69.6
28097,59.8
28099,73.9
28101,87.1
28103,74.0
28105,36.4
28107,78.9
28109,69.9
28111,100.0
28113,59.4
28115,84.0
28117,76.1
28119,57.0
28121,33.9
28123,72.2
28125,100.0
28127,84.8
28129,100.0
28131,78.8
28133,45.8
28135,80.9
28137,77.4
28139,83.8
28141,100.0
28143,66.0
28145,75.6
28147,100.0
28149,40.9
28151,17.5
28153,79.6
28155,100.0
28157,100.0
28159,75.9
28161,79.3
28163,44.6
29001,37.9
29003,61.3
29005,100.0
29007,41.2
29009,73.3
29011,64.0
29013,77.3
29015,86.5
29017,100.0
29019,18.8
29021,13.4
29023,52.2
29025,100.0
29027,62.0
29029,74.2
29031,30.5
29033,64.5
29035,100.0
29037,32.4
29039,75.3
29041,100.0
29043,44.8
29045,100.0
29047,9.8
29049,76.2
29051,29.1
29053,53.2
29055,73.3
29057,100.0
29059,81.9
29061,100.0
29063,62.4
29065,68.6
29067,79.1
29069,50.5
29071,55.6
29073,80.9
29075,100.0
29077,14.0
29079,45.5
29081,70.4
29083,49.5
29085,100.0
29087,100.0
29089,64.1
29091,72.2
29093,74.9
29095,3.8
29097,23.7
29099,30.2
29101,50.4
29103,100.0
29105,60.5
29107,56.9
29109,58.7
29111,100.0
29113,74.8
29115,66.5
29117,36.6
29119,100.0
29121,67.8
29123,65.5
29125,100.0
29127,24.8
29129,100.0
29131,79.8
29133,32.7
29135,52.7
29137,100.0
29139,78.5
29141,100.0
29143,56.9
29145,64.4
29147,43.4
29149,80.5
29151,100.0
29153,100.0
29155,49.3
29157,55.6
29159,37.8
29161,46.2
29163,54.4
29165,15.8
29167,68.9
29169,44.0
29171,100.0
29173,96.1
29175,45.2
29177,75.2
29179,100.0
29181,100.0
29183,5.8
29185,100.0
29186,76.1
29187,39.8
29189,1.1
29195,45.8
29197,100.0
29199,100.0
29201,41.6
29203,100.0
29205,100.0
29207,69.8
29209,88.7
29211,100.0
29213,43.9
29215,99.2
29217,58.3
29219,63.0
29221,80.5
29223,100.0
29225,73.9
29227,100.0
29229,76.6
29510,0.0
30001,50.2
30003,71.9
30005,100.0
30007,100.0
30009,100.0
30011,100.0
30013,19.8
30015,100.0
30017,17.9
30019,100.0
30021,27.6
30023,33.6
30025,100.0
30027,47.4
30029,51.5
30031,33.5
30033,100.0
30035,44.0
30037,100.0
30039,100.0
30041,40.0
30043,100.0
30045,100.0
30047,83.4
30049,28.9
30051,100.0
30053,79.8
30055,100.0
30057,100.0
30059,100.0
30061,100.0
30063,22.3
30065,100.0
30067,47.7
30069,100.0
30071,100.0
30073,58.1
30075,100.0
30077,54.2
30079,100.0
30081,84.6
30083,44.2
30085,39.7
30087,100.0
30089,100.0
30091,100.0
30093,11.4
30095,100.0
30097,100.0
30099,100.0
30101,43.0
30103,100.0
30105,55.2
30107,100.0
30109,100.0
30111,16.7
31001,22.5
31003,100.0
31005,100.0
31007,100.0
31009,100.0
31011,100.0
31013,25.0
31015,100.0
31017,100.0
31019,32.3
31021,100.0
31023,65.7
31025,73.0
31027,100.0
31029,100.0
31031,52.5
31033,36.3
31035,100.0
31037,40.5
31039,65.2
31041,67.7
31043,21.1
31045,39.9
31047,26.7
31049,100.0
31051,100.0
31053,25.1
31055,2.2
31057,100.0
31059,100.0
31061,100.0
31063,100.0
31065,100.0
31067,44.4
31069,100.0
31071,100.0
31073,100.0
31075,100.0
31077,100.0
31079,14.6
31081,51.1
31083,100.0
31085,100.0
31087,100.0
31089,64.7
31091,100.0
31093,100.0
31095,48.2
31097,100.0
31099,54.6
31101,47.1
31103,100.0
31105,100.0
31107,100.0
31109,8.3
31111,30.5
31113,100.0
31115,100.0
31117,100.0
31119,27.9
31121,58.9
31123,100.0
31125,100.0
31127,52.1
31129,100.0
31131,55.1
31133,100.0
31135,100.0
31137,41.9
31139,100.0
31141,31.4
31143,100.0
31145,31.6
31147,50.6
31149,100.0
31151,51.1
31153,5.3
31155,66.5
31157,29.8
31159,60.4
31161,100.0
31163,100.0
31165,100.0
31167,73.5
31169,100.0
31171,100.0
31173,100.0
31175,100.0
31177,61.2
31179,42.1
31181,100.0
31183,100.0
31185,44.1
32001,34.7
32003,1.3
32005,31.6
32007,37.9
32009,100.0
32011,100.0
32013,37.9
32015,39.0
32017,100.0
32019,36.9
32021,31.9
32023,35.3
32027,100.0
32029,92.6
32031,4.3
32033,53.3
32510,4.8
33001,66.3
33003,90.2
33005,65.0
33007,66.2
33009,68.7
33011,21.2
33013,54.6
33015,24.9
33017,32.4
33019,64.2
34001,12.7
34003,0.1
34005,6.7
34007,1.6
34009,17.5
34011,23.0
34013,0.0
34015,8.3
34017,0.0
34019,49.6
34021,3.5
34023,0.7
34025,3.7
34027,6.8
34029,2.9
34031,2.4
34033,45.3
34035,5.8
34037,39.8
34039,0.0
34041,37.6
35001,4.2
35003,100.0
35005,24.2
35006,55.3
35007,52.4
35009,14.1
35011,100.0
35013,19.3
35015,20.9
35017,42.4
35019,44.1
35021,100.0
35023,100.0
35025,21.0
35027,53.2
35028,11.2
35029,40.6
35031,57.4
35033,100.0
35035,29.6
35037,41.6
35039,49.8
35041,36.5
35043,17.1
35045,33.7
35047,46.9
35049,25.2
35051,34.0
35053,49.7
35055,58.4
35057,98.8
35059,100.0
35061,16.7
36001,9.7
36003,78.7
36005,0.0
36007,26.1
36009,61.8
36011,55.8
36013,43.9
36015,24.2
36017,83.4
36019,64.2
36021,73.3
36023,44.3
36025,78.4
36027,25.4
36029,9.4
36031,74.9
36033,62.7
36035,50.4
36037,59.9
36039,73.1
36041,100.0
36043,51.8
36045,48.0
36047,0.0
36049,86.8
36051,54.7
36053,58.9
36055,6.4
36057,40.9
36059,0.2
36061,0.0
36063,22.4
36065,33.0
36067,12.6
36069,47.5
36071,22.3
36073,60.9
36075,61.8
36077,70.6
36079,20.5
36081,0.0
36083,30.5
36085,0.0
36087,0.7
36089,62.0
36091,30.0
36093,8.2
36095,82.8
36097,81.2
36099,58.7
36101,60.4
36103,2.6
36105,74.2
36107,65.7
36109,43.3
36111,46.0
36113,33.9
36115,67.9
36117,60.7
36119,3.3
36121,64.1
36123,71.2
37001,28.6
37003,72.8
37005,100.0
37007,78.5
37009,84.9
37011,88.8
37013,65.6
37015,83.2
37017,91.2
37019,43.0
37021,24.1
37023,42.7
37025,19.3
37027,34.4
37029,99.5
37031,32.6
37033,99.2
37035,30.3
37037,65.9
37039,100.0
37041,67.6
37043,100.0
37045,55.8
37047,80.6
37049,27.7
37051,13.4
37053,98.3
37055,29.0
37057,47.4
37059,70.3
37061,86.5
37063,5.6
37065,45.3
37067,7.3
37069,85.3
37071,19.6
37073,100.0
37075,100.0
37077,54.7
37079,100.0
37081,12.7
37083,54.7
37085,55.9
37087,55.4
37089,33.3
37091,68.6
37093,43.2
37095,100.0
37097,37.9
37099,73.1
37101,52.0
37103,100.0
37105,42.8
37107,45.0
37109,54.6
37111,70.3
37113,80.0
37115,90.6
37117,78.1
37119,1.1
37121,82.6
37123,76.8
37125,50.7
37127,47.6
37129,2.2
37131,89.4
37133,26.3
37135,28.5
37137,100.0
37139,41.3
37141,68.8
37143,100.0
37145,75.5
37147,25.4
37149,92.3
37151,56.2
37153,45.5
37155,62.6
37157,61.9
37159,38.8
37161,61.0
37163,85.0
37165,48.4
37167,67.7
37169,75.7
37171,68.8
37173,100.0
37175,59.6
37177,100.0
37179,27.3
37181,54.1
37183,6.1
37185,100.0
37187,67.8
37189,55.4
37191,46.4
37193,72.8
37195,38.7
37197,84.7
37199,100.0
38001,100.0
38003,39.6
38005,100.0
38007,100.0
38009,100.0
38011,100.0
38013,100.0
38015,18.5
